compound_id	smiles	score_kcal_mol
101430112	O=C1NC(NC2CC3=CN=CC=C3NC2=O)=NC2=C1SC=C2	-7.731
101430144	O=C1NC2=CC=NC=C2CC1NC1=NC2=C(O1)C(Cl)=CC=C2	-7.500
101430176	CC(C)C1=NC=NC(NC2CC3=CN=CC=C3NC2=O)=C1Cl	-6.783
101430208	COC1=CC(NC2CC3=CN=CC=C3NC2=O)=NC=C1C#N	-6.342
101430624	CN1CCCC12CCN(C1=CC=NC3=CC(CO)=CC=C31)C2	-6.525
101431072	CN(C)CCC1CCN(C2=C3C(C(N)=O)=CNC3=NC=N2)C1	-6.001
101431584	CC1=NC(C2CN(C3=C(C#N)N=NC4=CC=CC=C43)C2)=NN1	-6.120
101431616	CSC1=CC=C2N=CN=C(N3CC(C4=NNC(C)=N4)C3)C2=C1	-6.247
101431648	CCOC(=O)C1=CC(N2CC(C3=NNC(C)=N3)C2)=NC(C)=N1	-6.261
101431680	CCC(C)C1=CC=C(C#N)C(N2CC(C3=NNC(C)=N3)C2)=N1	-6.189
101431712	CC1=NC(C2CN(C3=NN4C(C(=O)O)=CN=C4C=C3)C2)=NN1	-6.884
101431744	CC1=NC(C2CN(C3=CC(C#N)=C(C)C([N+](=O)[O-])=C3)C2)=NN1	-6.073
101431776	CC1=NC(C2CN(C3=NC=NC4=C(Br)C=C(F)C=C34)C2)=NN1	-7.149
101431808	CC1=NC(C2CN(C3=NC=NC4=C3C(C3CC3)=NN4)C2)=NN1	-6.436
101431872	FC1=CC=CC2=NC=NC(NCC3=NC4=CN=CC=C4S3)=C12	-6.654
101431936	NC(=O)C1=C(F)C=C(Br)C=C1NCC1=NC2=CN=CC=C2S1	-6.683
101432032	CCOC(=O)CC1=CSC(NCC2=NC3=CN=CC=C3S2)=N1	-5.559
101432096	NS(=O)(=O)C1=CC=C(NCC2=NC3=CN=CC=C3S2)C(Cl)=C1	-6.780
101432160	CC(C)CNC1=CC=NC(NCC2=NC3=CN=CC=C3S2)=N1	-6.009
101432192	COC(=O)C1=CC(NCC2=NC3=CN=CC=C3S2)=NC(N)=N1	-6.016
101432256	CCOC(=O)C1=CC=NN=C1NCC1=NC2=CN=CC=C2S1	-5.808
101432320	FC1=CC(F)=C2N=C(NCC3=NC4=CN=CC=C4S3)NC2=C1	-7.063
